,score,review
0,-0.2797081172466278,"A year after losing gorgeous Jane Parker (Maureen O'Sullivan) to love rival Tarzan, hunter Harry Holt (Neil Hamilton) returns to the jungle to have another bash at winning the brunette babe's heart. Mixing business with pleasure, he also plans to grab himself some ivory from the elephant graveyard that lies beyond the Mutia escarpment, Tarzan's stomping ground.<br /><br />Accompanied by his slimy, womanising pal Martin Arlington and a group of expendable bearers, Harry finally arrives at his destination (having narrowly avoided death at the hands of savage natives and rock-hurling apes) only to find that Jane is still infatuated with her musclebound yodeller, and worse still, that Tarzan is refusing to let the hunters take any ivory from the graveyard.<br /><br />Nasty Arlington decides to resolve matters by ambushing and shooting the ape-man and then telling Jane and Holt that Tarzan was attacked and eaten by a crocodile. Of course, Tarzan isn't deadonly wounded; after being nursed b"
1,-1.990532636642456,"I thought the racism and prejudice against Carl Brashear was grossly overdramatized for Hollywood effect. I do not believe the U. S. Navy was ever that overtly racist. I cannot imagine a full Captain, the Commanding Officer, ever telling his Chief to intentionally flunk anyone. Certainly not at the risk of his life. And there has never been a Chief Petty Officer as unabashedly prejudice against everybody but WASPs as DeNiro's character. No Chief as slovenly and drunken as he was played would have ever risen to Master Chief in the first place. Cuba Gooding saved an otherwise badly done movie."
2,-0.7578542232513428,"The costumes and make-up were grand, there were some exceptionally funny lines, and the role was made for Jim Carrey. Carrey did as good a job as could be done given the rather disappointing script writing. Sure this was mostly a movie for kids, but if you are going to spend this much money making a movie you really ought to at least give the story enough body to go beyond that of Dr Seuss. I expected more from Ron Howard. It's worth a see, but it lacks the necessary qualities to become a major classic, by any measure."
3,-0.7376062273979187,"Tales from the Crypt: And All Through the House starts on Christmas Eve as Elizabeth (Mary Ellen Trainor) kills her husband Joseph (Marshall Bell), she drags his body outside ready to throw it down a well but while doing so misses an important news bulletin on the radio that says a homicidal maniac (Larry Drake) dressed as Santa Clause has escaped from a local mental asylum & has already killed several women with Elizabeth next on his list but she has other ideas & tries to turn the seemingly dangerous situation to her advantage...<br /><br />This Tales from the Crypt story was episode 2 from season 1, directed by the one of the show's regular executive producers Robert Zemeckis And All Through the House is a decent enough watch. The script by Fred Dekker was actually based on a story appearing in the comic 'The Vault of Horror' & was originally adapted to film as one episode from the Britsih horror anthology film Tales from the Crypt (1972) which starred Joan Collins as the murderous "
4,-0.07004792243242264,"This was a great movie but it had the worst ending I think I have ever seen!!! The actors were great and displayed wonderful talent. The entire story was twisted and unexpecting, which, is what made it entertaining. As good as the movie was, the entire film is judged by the ending, which was terrible! Maybe a sequel could eliminate this bad ending."
5,-1.0551701784133911,"I appreciated the photography, the textures, the colours and often, unlike one comment, the lighting. What was lacking for me was a coherent storyline.I found it often disjointed, badly edited and at times difficult to follow. My version was 110 minutes, IMDb shows one at 125m. Possibly the cuts and subtitles didn't help. I applaud any films that escape from the Hollywood mould but this left me disappointed. Miss Gillain was luminous and the performances were all fine, I just wanted a little more dialogue. If anyone would like to see another film that has some affinity with this one, try 'Hideous Kinky'with Kate Winslet."
6,-0.08335046470165253,"As with all environmentally aware films from the 1970s SOYLENT GREEN has a rather cheesy view of what ecological meltdown is . Overpopulation means there`s too many people to feed ? I was under the impression that famines were caused by either war or failed economic policies . Stalin`s policy in the Soviet Union in the 1930s left millions dead because of famine and to this day the greatest man made tragedy was Mao`s rural policy in China which led over 30 million starvation deaths in the 1950s . And let`s not forget the great famines in the horn of Africa in the 1980s and 90s which were to do with conflicts not overpopulation . You might like to also consider that two of the most heavily populated areas on Earth , Hong Kong and Macau , have never suffered a famine in modern times . Likewise the expansion of shanty towns around cities as seen here isn`t strictly down to overpopulation - it`s down to economic factors where people flock to cities to find better paid work than in the count"
7,-0.5436484813690186,"This is one of the oddest films of the Zatôichi series due to its very unusual pacing and the role that Ichi plays in the film. Interestingly enough, this was the first Zatôichi film made by Shintaro Katsu's new production company. Now, instead of just playing the blind swordsman, Katsu is in charge of making the films. This could easily explain why this film seems so different in style to the previous 15 films. As far as Ichi's role, the film is very different because he isn't in the film as much as usual. He's also easy to fool and actually, for a while, does a lot to harm people instead of helping! <br /><br />""Zatôichi Rôyaburi"" begins with Ichi talking with an old lady who tries to take advantage of his blindness. Oddly, in this scene, Ichi says that he's been blind since a toddler, though in an earlier film he says his blindness set in when he was 8. This is a minor mistake, and only a crazed fan like myself would have noticed.<br /><br />This film takes place over a period of at"
8,-1.3675670623779297,"I never seem to write a review on IMDb unless I am extremely surprised at how good, or how bad, a movie is. This film falls into the first category. Every year, I try to see all the nominees for Best Foreign Film at the Oscars, even those that I know I won't like. ""As It Is In Heaven"" seems to fit the bill. The plot sounds sugary and sentimental and slow....For my tastes, which run more towards original, dark and/or daring foreign cinema (Michael Haneke, Francois Ozon, A lot of modern Japanese/Korean cinema) ""As It Is In Heaven"" does not sound particularly interesting....It didn't get released in the USA, so I sat down to watch a VCD I found in Singapore, preparing to ""cross it off the list"". After a dull beginning, ""As It Is In Heaven"" becomes that rare film where you really become inspired by what is happening on screen. Weak points: The characters in the film are pure ""stock"" characters- the Wounded Dreamer, the Town Bully, the Battered Wife, the Loose Woman Yearning for Love, the R"
9,-1.4210659265518188,"I have read modesty Blaise for several years now, collecting numbers of the strip. After the fiasco movie made many years ago based on the first book ""Modesty Blaise"" I was surprised the result got this good.<br /><br />What I got was a movie not based on action or violence. The director had focused on history and psychology. How was Modesty created based on the own tale and what parts in her life was affected by her non-childhood. I think this thougths will give a greater understanding to the next (I hope) film. I simply loved the movies old-fashioned style.<br /><br />However everything wasn't that good, the gambling wasn't that good. almost boring and unreal. The acting could have been improved too. I'm not thinking the bad guy in this movie felt real, the only reason he was there was so Modesty could have someone to tell her story for. Also they could have expanded the movie, showing more about when she builds up ""The network"" but I'll guess thats for the next movie.<br /><br />And"
